fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	min_data_in_leaf	num_leaves	max_bin	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211118 192814	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0938418430331961	0.707080304996509	0.672792745951521	43	6.89066367635714	2046	195	72	83.0572677750404	24.3507987319823	0.046885591624614	72	5647500
20211118 192909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.0430838934249662	0.459451992577484	0.675677064031635	87	6.84380859699515	75	882	41	77.7466454673682	90.6498657489782	0.0413455181475065	73	5875000
20211118 193025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	233	TRUE	0.0416137334218889	0.666031726646795	0.722701661848106	95	1.92809555611156	949	546	72	87.533903930122	13.2336357645951	0.0428184077728403	74	6005000
20211118 193121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0717918937547369	0.618052564570378	0.693777562957415	91	6.90198462510388	369	884	78	74.7298301857329	61.8913594777895	0.0482245821930992	75	5647500
20211118 193233	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	231	TRUE	0.0733152791339194	0.198573417311388	0.692994305122597	62	5.94478082890506	231	652	49	77.3894607766807	40.9223729367986	0.0491618755910388	76	5607500
20211118 193449	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	382	TRUE	0.0353176221419738	0.410192028713421	0.772475568044204	88	12.4231259040555	36	473	100	92.4787190365056	8.96933499382433	0.0437724385528859	77	6162500
20211118 193536	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0403850125636835	0.679395904910711	0.699389679979123	94	4.05845782649225	166	499	30	38.4326641490238	28.9535715364735	0.0441406609592194	78	6207500
20211118 193658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.0338618379443766	0.430832418644063	0.73127717876091	100	7.718198455117	401	657	77	90.5075597716472	9.93358204655711	0.0466010561288109	79	5940000
20211118 193824	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.053957590640493	0.434121490784799	0.797398673203403	50	5.42282691126689	207	940	88	97.0354998540561	30.8430966794705	0.0414375737490899	80	6061250
20211118 194155	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	586	TRUE	0.0217727779474574	0.399389384518223	0.785543766245958	81	2.85311440019541	463	483	27	80.5800039327223	3.87203084390646	0.0352865858251111	81	6180000
20211118 194407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	395	TRUE	0.0261484063969198	0.399867589672978	0.706388489127894	88	7.16757784822839	1019	819	66	75.7857241527703	2.24654203237262	0.0426091904965144	82	6086250
20211118 194523	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	176	TRUE	0.043825578229014	0.406999949277383	0.818237109186692	81	7.36164225584455	27	486	65	88.2311387752015	25.4951720430487	0.0409940331232792	83	5877500
20211118 194615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0819668143224564	0.41408782319115	0.735743780437422	68	6.41577448724175	60	681	93	61.9658251512039	16.3824808723543	0.0376716627752253	84	5923750
20211118 194819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	327	TRUE	0.0312748756432816	0.312974565793188	0.772873303040012	81	7.64577501060919	179	759	64	78.702775599047	31.1346481821298	0.0403329065300896	85	5976250
20211118 194909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.0820297875015713	0.435176936177151	0.727760439344469	75	10.8314000465271	831	209	98	98.547318403187	41.0568823403534	0.0345668783945503	86	5937500
20211118 195006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	0.0903871505619476	0.610688696957729	0.644452328066738	8	6.36879924224495	728	750	26	86.4322563499295	94.4764093406867	0.0429690442117948	87	5882500
20211118 195059	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0676329081229796	0.439101355273193	0.76561370557897	69	0.609563244746661	657	348	13	86.7152602500274	23.1907919786148	0.0362238792230507	88	5390000
20211118 195202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	175	TRUE	0.0912053839225749	0.31798528558593	0.730753569382308	59	9.0729577000166	58	421	97	86.8512364242187	28.2104812847329	0.0505678156879482	89	5597500
20211118 195250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	0.059518378111569	0.761709006071951	0.708144037259299	84	6.56505231581915	341	369	81	59.2028433635873	29.0580782356122	0.0429272007565297	90	5988750
20211118 195355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	154	TRUE	0.0884464541580641	0.788923023210433	0.688955755214496	40	6.79805845311783	485	626	86	73.4321496878245	53.7415313026309	0.0437640698618329	91	5763750
20211118 195427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0778002958547925	0.684053785391925	0.734054553800275	67	9.35507798194361	60	330	15	66.6114733849834	24.6089755651973	0.036550258174119	92	6191250
20211118 195512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0768360659184329	0.433970001650376	0.71386885793589	85	8.05480441344506	1471	894	100	65.6748247110602	27.4362832867498	0.0422660741633401	93	5937500
20211118 195607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	182	TRUE	0.0360703581973111	0.642324653706997	0.634310966798158	11	6.11167580354086	1133	802	44	70.2297373177572	74.7469154114357	0.0395295121889985	94	5896250
20211118 195712	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	157	TRUE	0.0411736950255144	0.68534958951624	0.710140475329849	64	4.04954475615957	139	491	34	68.3929298410892	29.330356059302	0.0424501853665068	95	6260000
20211118 195835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	232	TRUE	0.0312583547726932	0.403556543514688	0.769511440281261	93	4.78056507900675	74	237	71	83.3709677452021	4.88207140213835	0.0345668783945503	96	6387500
20211118 200112	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	516	TRUE	0.0201476442604235	0.399759995320843	0.704114453797721	94	3.15761124456777	28	280	71	75.082182015197	6.06067921984698	0.0475969303641217	97	6041250
20211118 200231	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0394457205328088	0.409565785776683	0.807079549953452	74	5.23534252616031	573	267	69	80.6461254773932	1.9382967767515	0.0366088390114902	98	6432500
20211118 200341	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	185	TRUE	0.0440148360301903	0.405132096179434	0.7023602044477	77	6.22963088651267	1203	338	49	85.7013239313717	3.27013012236798	0.037847405287339	99	5847500
20211118 200541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	439	TRUE	0.0372431033382472	0.897930529480582	0.796176849203152	84	7.01445379535229	599	248	82	80.2602258973947	27.7507169700231	0.0468437481693488	100	6003750
20211118 200702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	210	TRUE	0.0360210371493363	0.394164896247041	0.783399089506825	75	8.22817940291021	966	244	76	88.4360046347782	27.9727722097973	0.0395797243353167	101	5838750
20211118 200923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	375	TRUE	0.0352430010922461	0.438340977887105	0.824542893769169	77	4.33690213607908	809	612	71	78.1278859484196	21.2754348358144	0.0424250792933477	102	6263750
20211118 201056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	256	TRUE	0.0298896477502914	0.373419881364328	0.81899359102285	83	5.09149431423859	1207	334	71	77.3168598800359	1.95878906832174	0.0457056061861364	103	5973750
20211118 201133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0940095355499609	0.673291642311348	0.697939240418545	19	7.61380995048959	1100	554	36	72.9277092777105	61.7858700034487	0.0541914589139113	104	5556250
