fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211115 144119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0987701020856947	0.860044062109757	1795	771	0.0370021674909827	107	6423750
20211115 144305	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0911506524129398	0.601309782629204	2050	231	0.0317466295096784	108	6008750
20211115 144624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	399	TRUE	0.0628350355440751	0.698436879431084	5794	745	0.0290268049174429	109	6065000
20211115 144848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	261	TRUE	0.0914087486459129	0.641604072137037	5203	903	0.0313281949570268	110	5671250
20211115 145045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	216	TRUE	0.0934494162640348	0.74629264252896	6181	416	0.0365084147188538	111	5847500
20211115 145553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	504	TRUE	0.0352214138266444	0.368428744079219	5585	410	0.0328847714928908	112	5838750
20211115 145750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	198	TRUE	0.0923425149560906	0.253244047491904	4992	773	0.0342907115898002	113	5428750
20211115 150005	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	194	TRUE	0.0809248304814659	0.607217896570638	3629	119	0.0389939159616044	114	5926250
20211115 150243	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	486	TRUE	0.0605787737569213	0.113999766346021	6913	265	0.0328596654197317	115	5942500
20211115 150535	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	363	TRUE	0.0485029088419303	0.159083116993634	1374	511	0.0424334479844008	116	5862500
